jobID,agencyTitle,agencyID,jobTitle,salaryFrom,salaryTo
087990,DEPARTMENT OF BUSINESS SERV.,1,Account Manager,42405,65485
097899,DEPARTMENT OF BUSINESS SERV.,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",60740,162014
137433,DEPT OF HEALTH/MENTAL HYGIENE,2,Contract Analyst,50598,85053
152738,LAW DEPARTMENT,3,Office Manager,30683,49707
167179,NYC EMPLOYEES RETIREMENT SYS,4,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",87203,131623
171040,DEPT OF HEALTH/MENTAL HYGIENE,2,"Clerical Associate, Bureau of Communicable Diseases",32086,51981
175362,DEPT OF HEALTH/MENTAL HYGIENE,2,"Clerical Associate, Bureau of Vital Statistics",32086,51981
183500,LAW DEPARTMENT,3,Facilities Central Supervisor,32086,51981
185056,LAW DEPARTMENT,3,Paralegal Aide,38089,53300
187714,ADMIN FOR CHILDREN'S SVCS,5,Network Engineer I LAN/WAN,72260,98163
197941,DEPT OF HEALTH/MENTAL HYGIENE,2,Public Health Nurse (School Health),32.11,36.93
199170,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",41452,52821
203387,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Advisor, Bureau of STD Prevention and Control",18.8112,24.2923
209609,DEPT OF HEALTH/MENTAL HYGIENE,2,"Office Clerk AOT, Bureau of Mental Health",28965,43152
221045,NYC EMPLOYEES RETIREMENT SYS,4,CERTIFIED IT ADMINISTRATOR (WAN),89383,134914
229124,DEPT OF HEALTH/MENTAL HYGIENE,2,"HIV Program Associate, Bureau of STD Prevention and Control",48900,69042
233549,NYC EMPLOYEES RETIREMENT SYS,4,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",87203,131623
234921,NYC EMPLOYEES RETIREMENT SYS,4,CERTIFIED IT ADMINISTRATOR (LAN/WAN),72260,98163
235309,DEPT OF HEALTH/MENTAL HYGIENE,2,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",26457,32665
235793,LAW DEPARTMENT,3,Law Student,35213,40495
242091,DEPT OF HEALTH/MENTAL HYGIENE,2,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",32.11,36.93
242877,LAW DEPARTMENT,3,Claim Specialist,37492,59863
247403,LAW DEPARTMENT,3,Office Manager,32888,53281
251310,LAW DEPARTMENT,3,Paralegal Assistant Supervisor,39041,54633
255500,DEPT OF HEALTH/MENTAL HYGIENE,2,"Instructor, Division of Environmental Health, Bureau of Environmental Administration (Health Academy)",54457,84641
263674,NYC EMPLOYEES RETIREMENT SYS,4,COMPUTER SPECIALIST (SOFTWARE),79471,102388
266529,LAW DEPARTMENT,3,Student Legal Specialist,36270,41710
266542,NYC EMPLOYEES RETIREMENT SYS,4,COMPUTER SYSTEMS MANAGER,54643,150371
268307,DEPT OF HEALTH/MENTAL HYGIENE,2,Human Resources Administrative Assistant,30580,35098
268880,ADMIN FOR CHILDREN'S SVCS,5,Director of Child Protective Audits,60435,103044
268905,ADMIN FOR CHILDREN'S SVCS,5,Supervisor/Auditors of Accountability and Audit Unit,54643,94478
272382,DEPT OF ENVIRONMENT PROTECTION,6,ASSOCIATE PUBLIC HEALTH SANITARIAN II,60673,91795
276648,LAW DEPARTMENT,3,Clerical Supervisor (JD),33875,54879
278063,NYC EMPLOYEES RETIREMENT SYS,4,COMPUTER SPECIALIST (SOFTWARE),76288,95077
281906,LAW DEPARTMENT,3,Clerical Supervisor (ICSU),33875,54879
292969,POLICE DEPARTMENT,7,"Bookkeeper, Level III",43473,63386
308043,POLICE DEPARTMENT,7,"Administrative Contract Specialist, M-I",54643,150371
312210,NYC EMPLOYEES RETIREMENT SYS,4,COMPUTER SYSTEMS MANAGER,54643,150371
315372,LAW DEPARTMENT,3,Secretary to Division Chief,43319,54913
336342,DEPT OF HEALTH/MENTAL HYGIENE,2,Criminalist III,76516,76516
340435,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",73576,73576
343755,DEPT OF HEALTH/MENTAL HYGIENE,2,"Central Office Supervising Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",78429,78429
343779,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",73576,73576
346491,DEPT OF HEALTH/MENTAL HYGIENE,2,Motor Vehicle Operator,37200,46476
347444,LAW DEPARTMENT,3,Designated Felony Assistant Corporation Counsel,79079,94092
347589,DEPT OF HEALTH/MENTAL HYGIENE,2,Clerical Associate III,33875,54879
348560,ADMIN FOR CHILDREN'S SVCS,5,Eligibility Coordinator / Adoption Liaison,49390,59183
349516,ADMIN FOR CHILDREN'S SVCS,5,Conference Facilitator,67980,82093
352367,DEPT OF HEALTH/MENTAL HYGIENE,2,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",42288,59400
354234,DEPT OF HEALTH/MENTAL HYGIENE,2,Stationary Engineer,60.84,60.84
354733,LAW DEPARTMENT,3,Clerical Associate,33875,54879
355490,NYC EMPLOYEES RETIREMENT SYS,4,CERTIFIED IT DEVELOPER (APPLICATIONS),85823,121363
357845,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",78429,78429
358147,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",73576,73576
362424,DEPT OF HEALTH/MENTAL HYGIENE,2,"Executive Director, Health Policy, Bureau of Primary Care Access & Planning",90084,130939
366589,ADMIN FOR CHILDREN'S SVCS,5,Agency Implementation and Support Program Evaluator,61850,76745
366783,DEPT OF HEALTH/MENTAL HYGIENE,2,Asset Management Specialist,39797,45766
367653,DEPT OF HEALTH/MENTAL HYGIENE,2,Software Developer,64657,74356
367690,DEPT OF HEALTH/MENTAL HYGIENE,2,Software Developer,69618,80061
372195,DEPT OF HEALTH/MENTAL HYGIENE,2,Procurement Analyst,39304,65360
372246,DEPT OF HEALTH/MENTAL HYGIENE,2,Contracts Officer,56981,93904
375114,DEPT OF HEALTH/MENTAL HYGIENE,2,Communications Specialist,39170,39170
376049,LAW DEPARTMENT,3,Data Analyst,58152,74479
376356,LAW DEPARTMENT,3,Clerical Associate- Appeals,35330,40629
381081,DEPT OF YOUTH & COMM DEV SRVS,8,"Outcome Specialist, Contract Development & Validation",58440,69000
383010,DEPT OF HEALTH/MENTAL HYGIENE,2,"EIOD Assistant, Bureau of Early Intervention",42451,48600
383142,DEPT OF HEALTH/MENTAL HYGIENE,2,"Chief Communications Officer, Office of the Commissioner",56990,125000
384945,DEPT OF YOUTH & COMM DEV SRVS,8,Senior Program Manager,58440,70000
385235,LAW DEPARTMENT,3,MEDICOLEGAL ANALYST,61950,81801
385306,DEPT OF HEALTH/MENTAL HYGIENE,2,"Bilingual NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",86194,86194
386903,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Nurse, Bureau of School Health",40.79,40.79
389713,LAW DEPARTMENT,3,PARALEGAL AIDE - LEVEL 2,41939,58688
389883,DEPARTMENT OF CITY PLANNING,9,Human Capital Summer College Intern,17.5,17.5
390540,LAW DEPARTMENT,3,Deputy Chief of Facilities - Services,65731,75591
390569,LAW DEPARTMENT,3,Supply Clerk,35330,40629
390805,LAW DEPARTMENT,3,"Deputy Chief of Facilities, Supplies & Technical Support",65731,75591
391317,LAW DEPARTMENT,3,Agency Security Director,94392,94392
391494,DEPT OF HEALTH/MENTAL HYGIENE,2,Criminalist III,79802,79802
395833,ADMIN FOR CHILDREN'S SVCS,5,CoQI Facilitator,65429,81571
398460,DEPT OF HEALTH/MENTAL HYGIENE,2,Contracts Officer,61938,144145
399955,PUBLIC ADMINISTRATOR-NEW YORK,10,BOOKKEEPER,37243,49349
401486,CIVILIAN COMPLAINT REVIEW BD,11,Communications Director,56990,156829
408527,LAW DEPARTMENT,3,Quality Assurance / Technical Litigation Support Analyst,50078,57590
420619,LAW DEPARTMENT,3,Deputy Unit Chief - Brooklyn Central Services,59305,59305
424144,LAW DEPARTMENT,3,Executive Assistant,50000,50000
